Entidad_Federativa,Diésel,Año_Reporte,Mes
Aguascalientes,17.28,2017,1
Aguascalientes,17.31,2017,2
Aguascalientes,17.16,2017,3
Aguascalientes,17.09,2017,4
Aguascalientes,16.96,2017,5
Aguascalientes,16.78,2017,6
Aguascalientes,16.66,2017,7
Aguascalientes,16.71,2017,8
Aguascalientes,16.95,2017,9
Aguascalientes,17.14,2017,10
Aguascalientes,17.26,2017,11
Aguascalientes,17.4,2017,12
Aguascalientes,18.04,2018,1
Aguascalientes,18.89,2018,2
Aguascalientes,19.19,2018,3
Aguascalientes,19.27,2018,4
Aguascalientes,19.38,2018,5
Aguascalientes,19.57,2018,6
Aguascalientes,19.93,2018,7
Aguascalientes,20.46,2018,8
Aguascalientes,20.73,2018,9
Aguascalientes,21.02,2018,10
Aguascalientes,21.2,2018,11
Aguascalientes,21.13,2018,12
Aguascalientes,21.17,2019,1
Aguascalientes,21.93,2019,2
Aguascalientes,22,2019,3
Aguascalientes,21.68,2019,4
Aguascalientes,21.58,2019,5
Aguascalientes,21.43,2019,6
Aguascalientes,21.47,2019,7
Aguascalientes,21.45,2019,8
Aguascalientes,21.49,2019,9
Aguascalientes,21.46,2019,10
Aguascalientes,21.47,2019,11
Aguascalientes,21.6,2019,12
Aguascalientes,21.65,2020,1
Aguascalientes,21.52,2020,2
Aguascalientes,20.82,2020,3
Aguascalientes,19.39,2020,4
Aguascalientes,19.13,2020,5
Baja California,17.2,2017,1
Baja California,17.2,2017,2
Baja California,17.1,2017,3
Baja California,17.04,2017,4
Baja California,16.96,2017,5
Baja California,16.88,2017,6
Baja California,16.76,2017,7
Baja California,16.78,2017,8
Baja California,16.97,2017,9
Baja California,17.14,2017,10
Baja California,17.28,2017,11
Baja California,17.45,2017,12
Baja California,17.9,2018,1
Baja California,18.41,2018,2
Baja California,18.6,2018,3
Baja California,18.7,2018,4
Baja California,18.83,2018,5
Baja California,19.07,2018,6
Baja California,19.41,2018,7
Baja California,19.88,2018,8
Baja California,20.12,2018,9
Baja California,20.37,2018,10
Baja California,20.52,2018,11
Baja California,20.51,2018,12
Baja California,19.34,2019,1
Baja California,19.9,2019,2
Baja California,20.21,2019,3
Baja California,20.17,2019,4
Baja California,20.15,2019,5
Baja California,20.11,2019,6
Baja California,20.17,2019,7
Baja California,20.15,2019,8
Baja California,20.16,2019,9
Baja California,20.12,2019,10
Baja California,20.12,2019,11
Baja California,20.21,2019,12
Baja California,20.37,2020,1
Baja California,20.38,2020,2
Baja California,19.86,2020,3
Baja California,18.5,2020,4
Baja California,18.14,2020,5
B. C. Sur,17.2,2017,1
B. C. Sur,17.18,2017,2
B. C. Sur,17.05,2017,3
B. C. Sur,16.98,2017,4
B. C. Sur,16.87,2017,5
B. C. Sur,16.68,2017,6
B. C. Sur,16.55,2017,7
B. C. Sur,16.61,2017,8
B. C. Sur,16.86,2017,9
B. C. Sur,17.05,2017,10
B. C. Sur,17.21,2017,11
B. C. Sur,17.43,2017,12
B. C. Sur,17.9,2018,1
B. C. Sur,18.36,2018,2
B. C. Sur,18.57,2018,3
B. C. Sur,18.65,2018,4
B. C. Sur,18.82,2018,5
B. C. Sur,19.05,2018,6
B. C. Sur,19.37,2018,7
B. C. Sur,19.88,2018,8
B. C. Sur,20.17,2018,9
B. C. Sur,20.47,2018,10
B. C. Sur,20.69,2018,11
B. C. Sur,20.72,2018,12
B. C. Sur,20.68,2019,1
B. C. Sur,21.55,2019,2
B. C. Sur,21.75,2019,3
B. C. Sur,21.69,2019,4
B. C. Sur,21.74,2019,5
B. C. Sur,21.75,2019,6
B. C. Sur,21.84,2019,7
B. C. Sur,21.84,2019,8
B. C. Sur,21.89,2019,9
B. C. Sur,21.85,2019,10
B. C. Sur,21.87,2019,11
B. C. Sur,21.93,2019,12
B. C. Sur,22.02,2020,1
B. C. Sur,21.82,2020,2
B. C. Sur,20.95,2020,3
B. C. Sur,19.68,2020,4
B. C. Sur,19.29,2020,5
Campeche,16.73,2017,1
Campeche,16.72,2017,2
Campeche,16.6,2017,3
Campeche,16.54,2017,4
Campeche,16.42,2017,5
Campeche,16.24,2017,6
Campeche,16.11,2017,7
Campeche,16.17,2017,8
Campeche,16.43,2017,9
Campeche,16.62,2017,10
Campeche,16.73,2017,11
Campeche,16.92,2017,12
Campeche,17.58,2018,1
Campeche,18.27,2018,2
