Entidad_Federativa,Gasolina_Min_91octanos,Año_Reporte,Mes
Aguascalientes,17.96,2017,1
Aguascalientes,17.98,2017,2
Aguascalientes,17.86,2017,3
Aguascalientes,17.85,2017,4
Aguascalientes,17.78,2017,5
Aguascalientes,17.64,2017,6
Aguascalientes,17.54,2017,7
Aguascalientes,17.62,2017,8
Aguascalientes,17.87,2017,9
Aguascalientes,17.96,2017,10
Aguascalientes,18.06,2017,11
Aguascalientes,18.17,2017,12
Aguascalientes,18.84,2018,1
Aguascalientes,19.54,2018,2
Aguascalientes,19.73,2018,3
Aguascalientes,19.8,2018,4
Aguascalientes,19.89,2018,5
Aguascalientes,20.05,2018,6
Aguascalientes,20.43,2018,7
Aguascalientes,21.01,2018,8
Aguascalientes,21.25,2018,9
Aguascalientes,21.48,2018,10
Aguascalientes,21.49,2018,11
Aguascalientes,21.29,2018,12
Aguascalientes,21.01,2019,1
Aguascalientes,21.12,2019,2
Aguascalientes,21.35,2019,3
Aguascalientes,21.06,2019,4
Aguascalientes,20.99,2019,5
Aguascalientes,21,2019,6
Aguascalientes,21.08,2019,7
Aguascalientes,21.1,2019,8
Aguascalientes,21.14,2019,9
Aguascalientes,21.2,2019,10
Aguascalientes,21.2,2019,11
Aguascalientes,21.25,2019,12
Aguascalientes,21.28,2020,1
Aguascalientes,21.16,2020,2
Aguascalientes,19.82,2020,3
Aguascalientes,16.73,2020,4
Aguascalientes,17.45,2020,5
Baja California,17.86,2017,1
Baja California,17.81,2017,2
Baja California,17.61,2017,3
Baja California,17.6,2017,4
Baja California,17.57,2017,5
Baja California,17.53,2017,6
Baja California,17.41,2017,7
Baja California,17.51,2017,8
Baja California,17.7,2017,9
Baja California,17.82,2017,10
Baja California,17.96,2017,11
Baja California,18.09,2017,12
Baja California,18.45,2018,1
Baja California,18.95,2018,2
Baja California,19.16,2018,3
Baja California,19.29,2018,4
Baja California,19.38,2018,5
Baja California,19.64,2018,6
Baja California,20.03,2018,7
Baja California,20.52,2018,8
Baja California,20.81,2018,9
Baja California,21.09,2018,10
Baja California,21.2,2018,11
Baja California,20.91,2018,12
Baja California,19.67,2019,1
Baja California,19.41,2019,2
Baja California,19.69,2019,3
Baja California,19.95,2019,4
Baja California,20.16,2019,5
Baja California,20.25,2019,6
Baja California,20.4,2019,7
Baja California,20.27,2019,8
Baja California,20.22,2019,9
Baja California,19.94,2019,10
Baja California,19.83,2019,11
Baja California,19.89,2019,12
Baja California,20.25,2020,1
Baja California,20.15,2020,2
Baja California,19.17,2020,3
Baja California,16.23,2020,4
Baja California,16.61,2020,5
Baja California Sur,17.85,2017,1
Baja California Sur,17.81,2017,2
Baja California Sur,17.73,2017,3
Baja California Sur,17.72,2017,4
Baja California Sur,17.66,2017,5
Baja California Sur,17.53,2017,6
Baja California Sur,17.43,2017,7
Baja California Sur,17.5,2017,8
Baja California Sur,17.75,2017,9
Baja California Sur,17.84,2017,10
Baja California Sur,18.01,2017,11
Baja California Sur,18.2,2017,12
Baja California Sur,18.61,2018,1
Baja California Sur,19.05,2018,2
Baja California Sur,19.22,2018,3
Baja California Sur,19.28,2018,4
Baja California Sur,19.42,2018,5
Baja California Sur,19.69,2018,6
Baja California Sur,19.98,2018,7
Baja California Sur,20.48,2018,8
Baja California Sur,20.75,2018,9
Baja California Sur,21,2018,10
Baja California Sur,21.08,2018,11
Baja California Sur,21.01,2018,12
Baja California Sur,20.71,2019,1
Baja California Sur,20.52,2019,2
Baja California Sur,21.34,2019,3
Baja California Sur,21.61,2019,4
Baja California Sur,21.7,2019,5
Baja California Sur,21.77,2019,6
Baja California Sur,21.79,2019,7
Baja California Sur,21.83,2019,8
Baja California Sur,21.87,2019,9
Baja California Sur,21.89,2019,10
Baja California Sur,21.87,2019,11
Baja California Sur,21.94,2019,12
Baja California Sur,21.95,2020,1
Baja California Sur,21.8,2020,2
Baja California Sur,20.27,2020,3
Baja California Sur,16.99,2020,4
Baja California Sur,17.69,2020,5
Campeche,17.42,2017,1
Campeche,17.42,2017,2
Campeche,17.33,2017,3
Campeche,17.32,2017,4
Campeche,17.25,2017,5
Campeche,17.11,2017,6
Campeche,17.02,2017,7
Campeche,17.09,2017,8
Campeche,17.34,2017,9
Campeche,17.43,2017,10
Campeche,17.53,2017,11
Campeche,17.67,2017,12
Campeche,18.23,2018,1
Campeche,18.74,2018,2
Campeche,18.87,2018,3
Campeche,18.91,2018,4
Campeche,19.04,2018,5
Campeche,19.29,2018,6
Campeche,19.73,2018,7
Campeche,20.36,2018,8
Campeche,20.6,2018,9
Campeche,20.83,2018,10
Campeche,20.85,2018,11
Campeche,20.78,2018,12
Campeche,20.58,2019,1
Campeche,20.34,2019,2
Campeche,20.9,2019,3
Campeche,21.03,2019,4
Campeche,20.98,2019,5
Campeche,21,2019,6
Campeche,20.99,2019,7
Campeche,21,2019,8
Campeche,21.05,2019,9
Campeche,20.94,2019,10
Campeche,20.83,2019,11
Campeche,20.83,2019,12
Campeche,20.89,2020,1
Campeche,20.6,2020,2
Campeche,19.69,2020,3
Campeche,17.25,2020,4
Campeche,17.53,2020,5
Chiapas,17.63,2017,1
Chiapas,17.63,2017,2
Chiapas,17.52,2017,3
Chiapas,17.5,2017,4
Chiapas,17.43,2017,5
Chiapas,17.29,2017,6
Chiapas,17.2,2017,7
Chiapas,17.28,2017,8
Chiapas,17.53,2017,9
Chiapas,17.62,2017,10
Chiapas,17.72,2017,11
Chiapas,17.8,2017,12
Chiapas,18.23,2018,1
Chiapas,18.7,2018,2
Chiapas,18.84,2018,3
Chiapas,18.93,2018,4
Chiapas,19.08,2018,5
Chiapas,19.31,2018,6
Chiapas,19.7,2018,7
Chiapas,20.28,2018,8
Chiapas,20.48,2018,9
Chiapas,20.63,2018,10
Chiapas,20.61,2018,11
Chiapas,20.34,2018,12
Chiapas,19.8,2019,1
Chiapas,19.67,2019,2
Chiapas,20.55,2019,3
Chiapas,20.69,2019,4
Chiapas,20.61,2019,5
Chiapas,20.58,2019,6
Chiapas,20.57,2019,7
Chiapas,20.59,2019,8
Chiapas,20.62,2019,9
Chiapas,20.54,2019,10
Chiapas,20.33,2019,11
Chiapas,20.32,2019,12
Chiapas,20.29,2020,1
Chiapas,19.94,2020,2
Chiapas,18.57,2020,3
Chiapas,16.2,2020,4
Chiapas,16.6,2020,5
Chihuahua,18,2017,1
Chihuahua,16.45,2017,2
Chihuahua,17.01,2017,3
Chihuahua,16.91,2017,4
Chihuahua,16.85,2017,5
Chihuahua,16.76,2017,6
Chihuahua,16.66,2017,7
Chihuahua,16.72,2017,8
Chihuahua,17.02,2017,9
Chihuahua,17.15,2017,10
Chihuahua,17.28,2017,11
Chihuahua,17.44,2017,12
Chihuahua,17.88,2018,1
Chihuahua,18.35,2018,2
Chihuahua,18.42,2018,3
Chihuahua,18.37,2018,4
Chihuahua,18.63,2018,5
Chihuahua,18.63,2018,6
Chihuahua,19,2018,7
Chihuahua,19.4,2018,8
Chihuahua,19.53,2018,9
Chihuahua,19.73,2018,10
Chihuahua,19.7,2018,11
Chihuahua,19.29,2018,12
